customerID,Churn_Probability,Key_Risk_Factor
7216-EWTRS,99.36,No OnlineSecurity
5419-JPRRN,99.22,No OnlineSecurity
0107-YHINA,98.97,No OnlineSecurity
2012-NWRPA,98.85,No OnlineSecurity
1374-DMZUI,98.71,No OnlineSecurity
5419-CONWX,98.68,No OnlineSecurity
9885-CSMWE,98.56,No OnlineSecurity
2612-RANWT,98.53,No OnlineSecurity
7295-JOMMD,98.45,No OnlineSecurity
4910-GMJOT,98.43,No OnlineSecurity
5178-LMXOP,98.42,No OnlineSecurity
9223-UCPVT,98.4,No OnlineSecurity
1571-SAVHK,98.39,No OnlineSecurity
6567-HOOPW,98.38,No OnlineSecurity
8580-AECUZ,98.28,No OnlineSecurity
0295-PPHDO,98.28,No OnlineSecurity
6688-UZPWD,98.24,No OnlineSecurity
2656-TABEH,98.21,No OnlineSecurity
6702-OHFWR,98.19,No OnlineSecurity
4695-WJZUE,98.18,No OnlineSecurity
9497-QCMMS,98.16,No OnlineSecurity
8098-LLAZX,98.12,No OnlineSecurity
3006-XIMLN,98.07,No OnlineSecurity
8779-QRDMV,98.06,No OnlineSecurity
1069-XAIEM,98.04,No OnlineSecurity
1450-GALXR,98.02,No OnlineSecurity
2454-RPBRZ,98.01,No OnlineSecurity
4806-HIPDW,98.0,No OnlineSecurity
4826-XTSOH,98.0,No OnlineSecurity
1875-QIVME,97.91,No OnlineSecurity
4315-MURBD,97.86,Month-to-Month
5150-ITWWB,97.83,No OnlineSecurity
7526-BEZQB,97.81,No OnlineSecurity
2754-SDJRD,97.76,No OnlineSecurity
9019-QVLZD,97.75,No OnlineSecurity
9172-ANCRX,97.71,Month-to-Month
9300-AGZNL,97.64,No OnlineSecurity
9248-OJYKK,97.64,No OnlineSecurity
8058-INTPH,97.62,No OnlineSecurity
0897-FEGMU,97.55,No OnlineSecurity
3068-OMWZA,97.54,No OnlineSecurity
6861-XWTWQ,97.51,No OnlineSecurity
8945-GRKHX,97.5,No OnlineSecurity
2265-CYWIV,97.5,Month-to-Month
7089-IVVAZ,97.46,Month-to-Month
5393-RXQSZ,97.43,No OnlineSecurity
1400-MMYXY,97.42,No OnlineSecurity
8168-UQWWF,97.4,No OnlineSecurity
5960-WPXQM,97.39,No OnlineSecurity
8740-CRYFY,97.39,No OnlineSecurity
7594-RQHXR,97.38,No OnlineSecurity
2506-TNFCO,97.31,No OnlineSecurity
4501-EQDRN,97.3,No OnlineSecurity
2514-GINMM,97.29,No OnlineSecurity
1761-AEZZR,97.29,No OnlineSecurity
3217-FZDMN,97.27,No OnlineSecurity
4871-JTKJF,97.27,No OnlineSecurity
8375-DKEBR,97.27,No OnlineSecurity
2636-ALXXZ,97.27,No OnlineSecurity
6910-HADCM,97.14,No OnlineSecurity
7181-BQYBV,97.13,Month-to-Month
5293-WXJAK,97.12,No OnlineSecurity
5192-EBGOV,97.09,No OnlineSecurity
7206-GZCDC,97.05,No OnlineSecurity
6023-YEBUP,96.96,No OnlineSecurity
5919-TMRGD,96.94,No OnlineSecurity
2856-HYAPG,96.9,No OnlineSecurity
4110-PFEUZ,96.9,No OnlineSecurity
7665-TOALD,96.89,No OnlineSecurity
2868-MZAGQ,96.87,No OnlineSecurity
9290-SHCMB,96.83,No OnlineSecurity
5299-RULOA,96.74,Month-to-Month
5277-ZLOOR,96.66,No OnlineSecurity
9124-LHCJQ,96.65,No OnlineSecurity
0488-GSLFR,96.63,No OnlineSecurity
7660-HDPJV,96.63,No OnlineSecurity
9728-FTTVZ,96.63,No OnlineSecurity
2952-QAYZF,96.61,No OnlineSecurity
3097-NQYSN,96.55,No OnlineSecurity
6857-VWJDT,96.41,No OnlineSecurity
7908-QCBCA,96.4,No OnlineSecurity
0023-HGHWL,96.3,No OnlineSecurity
6894-LFHLY,96.29,No OnlineSecurity
3387-VATUS,96.24,No OnlineSecurity
4078-SAYYN,96.23,No OnlineSecurity
7450-NWRTR,96.21,No OnlineSecurity
9305-CDSKC,96.13,No OnlineSecurity
5186-SAMNZ,96.12,No OnlineSecurity
2777-PHDEI,96.03,No OnlineSecurity
9185-TQCVP,95.91,No OnlineSecurity
5561-NWEVX,95.91,No OnlineSecurity
1455-UGQVH,95.89,No OnlineSecurity
2180-DXNEG,95.88,No OnlineSecurity
4210-QFJMF,95.86,No OnlineSecurity
1768-ZAIFU,95.85,No OnlineSecurity
3871-IKPYH,95.85,No OnlineSecurity
6230-BSUXY,95.83,No OnlineSecurity
3389-YGYAI,95.83,No OnlineSecurity
6372-RFVNS,95.8,No OnlineSecurity
8149-RSOUN,95.78,No OnlineSecurity
4424-TKOPW,95.78,No OnlineSecurity
0679-IDSTG,95.68,No OnlineSecurity
0219-YTZUE,95.66,No OnlineSecurity
8603-IJWDN,95.55,No OnlineSecurity
2446-BEGGB,95.5,No OnlineSecurity
1564-NTYXF,95.49,No OnlineSecurity
0094-OIFMO,95.48,No OnlineSecurity
3677-IYRBF,95.45,No OnlineSecurity
1447-GIQMR,95.44,No OnlineSecurity
6108-OQZDQ,95.41,No OnlineSecurity
9057-SIHCH,95.33,No OnlineSecurity
4132-KALRO,95.33,No OnlineSecurity
3338-CVVEH,95.32,No OnlineSecurity
3198-VELRD,95.28,No OnlineSecurity
1086-LXKFY,95.26,No OnlineSecurity
5095-AESKG,95.25,No OnlineSecurity
9430-FRQOC,95.2,No OnlineSecurity
8062-YBDOE,95.14,No OnlineSecurity
8374-XGEJJ,95.06,No OnlineSecurity
6502-MJQAE,95.04,No OnlineSecurity
7254-IQWOZ,95.04,No OnlineSecurity
4550-EVXNY,95.0,No OnlineSecurity
0841-NULXI,94.98,No OnlineSecurity
3091-FYHKI,94.98,No OnlineSecurity
0655-RBDUG,94.96,No OnlineSecurity
3440-JPSCL,94.95,No OnlineSecurity
5564-NEMQO,94.95,No OnlineSecurity
0876-WDUUZ,94.94,No OnlineSecurity
5597-GLBUC,94.92,No OnlineSecurity
7851-WZEKY,94.87,No OnlineSecurity
5299-SJCZT,94.86,No OnlineSecurity
1304-NECVQ,94.74,No OnlineSecurity
0195-IESCP,94.73,No OnlineSecurity
3988-RQIXO,94.7,No OnlineSecurity
9763-PDTKK,94.7,Month-to-Month
2609-IAICY,94.69,No OnlineSecurity
2660-EMUBI,94.69,No OnlineSecurity
9102-IAYHT,94.67,No OnlineSecurity
5240-IJOQT,94.66,No OnlineSecurity
3716-BDVDB,94.64,No OnlineSecurity
6457-GIRWB,94.64,No OnlineSecurity
3428-XZMAZ,94.64,No OnlineSecurity
1820-TQVEV,94.64,No OnlineSecurity
0495-RVCBF,94.61,No OnlineSecurity
0196-VULGZ,94.6,No OnlineSecurity
3158-MOERK,94.59,No OnlineSecurity
5043-TRZWM,94.56,No OnlineSecurity
7576-OYWBN,94.56,No OnlineSecurity
7783-YKGDV,94.56,Month-to-Month
8258-GSTJK,94.54,No OnlineSecurity
3776-EKTKM,94.53,No OnlineSecurity
4988-IQIGL,94.53,No OnlineSecurity
5884-GCYMI,94.52,No OnlineSecurity
6350-XFYGW,94.5,No OnlineSecurity
0702-PGIBZ,94.47,No OnlineSecurity
4952-YSOGZ,94.39,No OnlineSecurity
6356-ELRKD,94.31,Month-to-Month
9507-EXLTT,94.29,No OnlineSecurity
0011-IGKFF,94.29,No OnlineSecurity
7024-OHCCK,94.23,No OnlineSecurity
2968-SSGAA,94.17,No OnlineSecurity
9381-NDKME,94.08,No OnlineSecurity
4236-XPXAV,93.78,No OnlineSecurity
0259-GBZSH,93.73,No OnlineSecurity
1273-MTETI,93.69,No OnlineSecurity
8884-ADFVN,93.68,No OnlineSecurity
8348-HFYIV,93.63,No OnlineSecurity
